4688571	344582	1	2	0	0	\N	0	0
4688572	344582	1	2	0	1	\N	0	0
4688573	344582	1	2	0	2	\N	0	0
4688574	344582	1	2	0	3	\N	0	0
4688575	344582	1	2	0	4	\N	0	0
4688576	344582	1	2	0	5	\N	0	0
4688577	344582	1	2	0	6	\N	0	0
4688578	344582	1	2	0	7	\N	0	0
4688579	344582	1	2	0	8	\N	0	0
4688580	344582	1	2	0	9	\N	120	0
4688581	344582	1	2	0	10	\N	1	0
4688582	344582	1	2	0	11	\N	0	0
4688583	344582	1	2	0	12	\N	0	0
4688584	344582	1	2	0	13	\N	0	0
4688585	344582	1	2	0	14	\N	0	0
4688586	344582	1	2	0	15	\N	0	0
4688587	344582	1	2	0	16	\N	0	0
4688588	344582	1	2	0	17	\N	0	0
4688589	344582	1	2	0	18	\N	0	0
4688590	344582	1	2	0	19	\N	0	0
4688591	344582	1	2	0	20	\N	0	0
4688592	344582	1	2	0	21	\N	0	0
4688593	344582	1	2	0	22	\N	0	0
4688594	344582	1	2	0	23	\N	0	0
4688595	344582	1	2	0	24	\N	0	0
4688596	344582	1	2	0	25	\N	120	0
4688597	344582	1	2	0	26	\N	1	0
4688598	344582	1	2	0	27	\N	0	0
4688599	344582	1	2	0	28	\N	0	0
4688600	344582	1	2	0	29	\N	0	0
4688601	344582	1	2	0	30	\N	0	0
4688602	344582	1	2	0	31	\N	0	0
4688603	344582	1	2	1	0	\N	0	0
4688604	344582	1	2	1	1	\N	0	0
4688605	344582	1	2	1	2	\N	0	0
4688606	344582	1	2	1	3	\N	0	0
4688607	344582	1	2	1	4	\N	0	0
4688608	344582	1	2	1	5	\N	0	0
4688609	344582	1	2	1	6	\N	0	0
4688610	344582	1	2	1	7	\N	0	0
4688611	344582	1	2	1	8	\N	0	0
4688612	344582	1	2	1	9	\N	0	0
4688613	344582	1	2	1	10	\N	0	0
4688614	344582	1	2	1	11	\N	0	0
4688615	344582	1	2	1	12	\N	0	0
